Time [s];Packet ID;Address;Data;Read/Write;ACK/NAK
0.000093166666667;0;'208' (0xD0);'0' (0x00);Write;ACK
0.000303541666667;1;'209' (0xD1);C (0x43);Read;ACK
0.000393000000000;1;'209' (0xD1);F (0x46);Read;ACK
0.000482458333333;1;'209' (0xD1);'21' (0x15);Read;ACK
0.000571958333333;1;'209' (0xD1);'5' (0x05);Read;ACK
0.000661375000000;1;'209' (0xD1);$ (0x24);Read;ACK
0.000750875000000;1;'209' (0xD1);'1' (0x01);Read;ACK
0.000840333333333;1;'209' (0xD1);' ' (0x20);Read;NAK
0.998114166666667;2;'208' (0xD0);'0' (0x00);Write;ACK
0.998326958333333;3;'209' (0xD1);D (0x44);Read;ACK
0.998416458333333;3;'209' (0xD1);F (0x46);Read;ACK
0.998505958333333;3;'209' (0xD1);'21' (0x15);Read;ACK
0.998595541666667;3;'209' (0xD1);'5' (0x05);Read;ACK
0.998685083333333;3;'209' (0xD1);$ (0x24);Read;ACK
0.998774666666667;3;'209' (0xD1);'1' (0x01);Read;ACK
0.998864250000000;3;'209' (0xD1);' ' (0x20);Read;NAK
1.995.795.916.666.660;4;'208' (0xD0);'0' (0x00);Write;ACK
1.996.006.250.000.000;5;'209' (0xD1);E (0x45);Read;ACK
1.996.095.708.333.330;5;'209' (0xD1);F (0x46);Read;ACK
1.996.185.166.666.660;5;'209' (0xD1);'21' (0x15);Read;ACK
1.996.274.625.000.000;5;'209' (0xD1);'5' (0x05);Read;ACK
1.996.364.125.000.000;5;'209' (0xD1);$ (0x24);Read;ACK
1.996.453.625.000.000;5;'209' (0xD1);'1' (0x01);Read;ACK
1.996.543.125.000.000;5;'209' (0xD1);' ' (0x20);Read;NAK
2.993.644.083.333.330;6;'208' (0xD0);'0' (0x00);Write;ACK
2.993.855.625.000.000;7;'209' (0xD1);F (0x46);Read;ACK
2.993.945.166.666.660;7;'209' (0xD1);F (0x46);Read;ACK
2.994.034.666.666.660;7;'209' (0xD1);'21' (0x15);Read;ACK
2.994.124.166.666.660;7;'209' (0xD1);'5' (0x05);Read;ACK
2.994.213.666.666.660;7;'209' (0xD1);$ (0x24);Read;ACK
2.994.303.208.333.330;7;'209' (0xD1);'1' (0x01);Read;ACK
2.994.392.708.333.330;7;'209' (0xD1);' ' (0x20);Read;NAK
3.991.571.041.666.660;8;'208' (0xD0);'0' (0x00);Write;ACK
3.991.781.583.333.330;9;'209' (0xD1);G (0x47);Read;ACK
3.991.871.083.333.330;9;'209' (0xD1);F (0x46);Read;ACK
3.991.960.625.000.000;9;'209' (0xD1);'21' (0x15);Read;ACK
3.992.050.125.000.000;9;'209' (0xD1);'5' (0x05);Read;ACK
3.992.139.666.666.660;9;'209' (0xD1);$ (0x24);Read;ACK
3.992.229.208.333.330;9;'209' (0xD1);'1' (0x01);Read;ACK
3.992.318.708.333.330;9;'209' (0xD1);' ' (0x20);Read;NAK
4.989.652.208.333.330;10;'208' (0xD0);'0' (0x00);Write;ACK
4.989.862.625.000.000;11;'209' (0xD1);H (0x48);Read;ACK
4.989.952.166.666.660;11;'209' (0xD1);F (0x46);Read;ACK
4.990.041.750.000.000;11;'209' (0xD1);'21' (0x15);Read;ACK
4.990.131.291.666.660;11;'209' (0xD1);'5' (0x05);Read;ACK
4.990.220.833.333.330;11;'209' (0xD1);$ (0x24);Read;ACK
4.990.310.375.000.000;11;'209' (0xD1);'1' (0x01);Read;ACK
4.990.399.916.666.660;11;'209' (0xD1);' ' (0x20);Read;NAK
5.988.162.750.000.000;12;'208' (0xD0);'0' (0x00);Write;ACK
5.988.373.666.666.660;13;'209' (0xD1);I (0x49);Read;ACK
5.988.463.375.000.000;13;'209' (0xD1);F (0x46);Read;ACK
5.988.553.041.666.660;13;'209' (0xD1);'21' (0x15);Read;ACK
5.988.642.708.333.330;13;'209' (0xD1);'5' (0x05);Read;ACK
5.988.732.375.000.000;13;'209' (0xD1);$ (0x24);Read;ACK
5.988.822.083.333.330;13;'209' (0xD1);'1' (0x01);Read;ACK
5.988.911.750.000.000;13;'209' (0xD1);' ' (0x20);Read;NAK
6.986.343.708.333.330;14;'208' (0xD0);'0' (0x00);Write;ACK
6.986.554.291.666.660;15;'209' (0xD1);P (0x50);Read;ACK
6.986.643.833.333.330;15;'209' (0xD1);F (0x46);Read;ACK
6.986.733.375.000.000;15;'209' (0xD1);'21' (0x15);Read;ACK
6.986.822.958.333.330;15;'209' (0xD1);'5' (0x05);Read;ACK
6.986.912.500.000.000;15;'209' (0xD1);$ (0x24);Read;ACK
6.987.002.125.000.000;15;'209' (0xD1);'1' (0x01);Read;ACK
6.987.091.708.333.330;15;'209' (0xD1);' ' (0x20);Read;NAK
7.984.430.375.000.000;16;'208' (0xD0);'0' (0x00);Write;ACK
7.984.640.833.333.330;17;'209' (0xD1);Q (0x51);Read;ACK
7.984.730.458.333.330;17;'209' (0xD1);F (0x46);Read;ACK
7.984.820.000.000.000;17;'209' (0xD1);'21' (0x15);Read;ACK
7.984.909.583.333.330;17;'209' (0xD1);'5' (0x05);Read;ACK
7.984.999.166.666.660;17;'209' (0xD1);$ (0x24);Read;ACK
7.985.088.750.000.000;17;'209' (0xD1);'1' (0x01);Read;ACK
7.985.178.375.000.000;17;'209' (0xD1);' ' (0x20);Read;NAK
8.982.204.749.999.990;18;'208' (0xD0);'0' (0x00);Write;ACK
8.982.417.416.666.660;19;'209' (0xD1);R (0x52);Read;ACK
8.982.506.875.000.000;19;'209' (0xD1);F (0x46);Read;ACK
8.982.596.333.333.330;19;'209' (0xD1);'21' (0x15);Read;ACK
8.982.685.750.000.000;19;'209' (0xD1);'5' (0x05);Read;ACK
8.982.775.208.333.330;19;'209' (0xD1);$ (0x24);Read;ACK
8.982.864.666.666.660;19;'209' (0xD1);'1' (0x01);Read;ACK
8.982.954.124.999.990;19;'209' (0xD1);' ' (0x20);Read;NAK
9.979.603.500.000.000;20;'208' (0xD0);'0' (0x00);Write;ACK
9.979.813.833.333.330;21;'209' (0xD1);S (0x53);Read;ACK
9.979.903.291.666.660;21;'209' (0xD1);F (0x46);Read;ACK
9.979.992.708.333.330;21;'209' (0xD1);'21' (0x15);Read;ACK
9.980.082.166.666.660;21;'209' (0xD1);'5' (0x05);Read;ACK
9.980.171.666.666.660;21;'209' (0xD1);$ (0x24);Read;ACK
9.980.261.125.000.000;21;'209' (0xD1);'1' (0x01);Read;ACK
9.980.350.625.000.000;21;'209' (0xD1);' ' (0x20);Read;NAK
